Category,Descript
inhibition,"Further molecular study has shown that pterostilbene effectively suppressed phosphorylation of STAT3, as well as STAT3 downstream genes that regulate cell cycle and apoptosis, indicating that inhibition of STAT3 pathway may be involved in its anti-tumor activity."
inhibition,"One of the mechanisms for overcoming cisplatin resistance in these cells is mediated by the inhibition of epidermal growth factor receptor (EGFR), though not all the EGFR inhibitors are equally active."
regulated,"TBC1 domain family member 16 (TBC1D16), a GTPase-activating protein, is involved in regulating intracellular trafficking in tumorigenesis and metastasis."
inhibition,"Probe TCF-GGT could be visualize endogenous Î³-GGT activity in HepG-2â¯cells and zebrafish on the two-photon confocal platform, which is conduce to estimate the inhibitor of Î³-GGT enzyme inÂ vivo."
activation,"Our findings obtained in the two groups of tumors which shared some etiopathogenic pathways imply that the expression of the epithelial-mesenchymal transition transcription factors may be activated at early stages of the epithelial-mesenchymal transition, and thus these molecules may play a pivotal role in the development of both serous borderline ovarian tumors and type I ovarian cancer."
inhibition,"In particular, luciferase assay showed that SPL-A inhibited Bcl-2 promoter activity, and p53 inhibitor PFT-Î± could reverse the effect of SPL-A on Bcl-2 expression."
inhibition,"In particular, luciferase assay showed that SPL-A inhibited Bcl-2 promoter activity, and p53 inhibitor PFT-Î± could reverse the effect of SPL-A on Bcl-2 expression."
inhibition,"Taken together, our results suggest that SPL-A sensitizes endometrial cancer cells to TRAIL-induced apoptosis via the regulation of apoptosis-related proteins and the inhibition of NQO1 activity."
inhibition,"The down-regulation of MALAT1 inhibited cell proliferation, invasion and migration, arrested cell cycle progression in S phase and induced cell apoptosis by restraining the activation of Wnt/Î²-catenin signaling pathway in ovarian cancer cells."
induced,"The down-regulation of MALAT1 inhibited cell proliferation, invasion and migration, arrested cell cycle progression in S phase and induced cell apoptosis by restraining the activation of Wnt/Î²-catenin signaling pathway in ovarian cancer cells."
activation,"The down-regulation of MALAT1 inhibited cell proliferation, invasion and migration, arrested cell cycle progression in S phase and induced cell apoptosis by restraining the activation of Wnt/Î²-catenin signaling pathway in ovarian cancer cells."
activation,"Taken together, our results indicate that FoxR2 overexpression in OC contributes to malignant behavior in cancer cells, at least in part through stimulating angiogenesis and activation of the hedgehog signaling pathway."
activation,Hedgehog signaling pathway activation may be the key in tumor progression mediated by FoxR2.
activation,"By participating in the formation of three distinct transcriptional regulatory complexes, including DREAM (DP, RB-like, E2F, and MuvB), MMB (Myb-MuvB), and FoxM1-MuvB, MuvB represents a unique regulator mediating either transcriptional activation (during S-G2 phases) or repression (during quiescence)."
regulated,The upregulation of ATF3 in the cell lines was regulated by multiple cellular mechanisms including the activation of JNK and ATM signaling pathways.
activation,The upregulation of ATF3 in the cell lines was regulated by multiple cellular mechanisms including the activation of JNK and ATM signaling pathways.
activation,Further analysis at the molecular level found that overexpression of PTP1B activated the JNK (c-Jun N-terminal kinase) signaling pathway and impacted a set of factors involved in cancer metastasis.
activation,Several lines of evidence indicate that YAP activates transcriptional programmes to promote cell cycle progression and DNA damage responses.
inhibition,"Here, we report that the inactivation of YAP sensitises the OVCAR-8 ovarian cancer cell line to AZD1775, a small-molecule WEE1 kinase inhibitor."
activation,"These results suggest that YAP activates the DNA damage response pathway, exemplified by the FA pathway and E2F1."
adhesion,Many up-regulated tumor promoting signaling pathways have been identified which are mainly grouped into three cellular activities: 1) cell proliferation and apoptosis resistance; 2) cell skeleton and adhesion changes; and 3) carbohydrate metabolic reprograming.
activation,"In parallel, niraparib activated a CD95-FADD-caspase 8 pathway, and collectively these signals caused tumor cell death that was suppressed by knock down of Beclin1, ATG5, CD95, FADD or AIF; or by expression of c-FLIP-s, BCL-XL or dominant negative caspase 9."
suppressed,"In parallel, niraparib activated a CD95-FADD-caspase 8 pathway, and collectively these signals caused tumor cell death that was suppressed by knock down of Beclin1, ATG5, CD95, FADD or AIF; or by expression of c-FLIP-s, BCL-XL or dominant negative caspase 9."
activation,HDAC inhibitors enhanced niraparib lethality by increasing activation of the ATM-AMPK-ULK1-autophagy and CD95-FADD-caspase 8 pathways.
activation,"Tumors previously exposed to niraparib had activated the ERK1/2 and AKT-mTOR pathways that correlated with increased plasma levels of IL-8, MIF, EGF, uPA and IL-12."
inhibition,Collectively our findings argue that the addition of HDAC inhibitors to niraparib enhances the anti-cancer activity of the PARP1 inhibitor niraparib.
activation,"In this report, we have applied both gain-of-function and loss-of-function analyses to assess the role of the non-receptor protein tyrosine kinase FER in activation of the HGF Receptor protein tyrosine kinase MET."
activation,"Overexpression of FER led to direct phosphorylation of several signaling sites in MET, including Tyr1349, but not the activation loop residues Tyr1234/5; in contrast, suppression of FER by RNAi revealed that phosphorylation of both a C-terminal signaling site (Tyr1349) and the activation loop (Tyr1234/5) were influenced by the function of this kinase."
activation,"Simultaneous up-regulation of FER and down-regulation of PTP1B observed in ovarian carcinoma-derived cell lines would be expected to contribute to persistent activation of HGF-MET signaling, suggesting that targeting of both FER and MET may be an effective strategy for therapeutic intervention in ovarian cancer."
activation,"While STAT3 activation is transient in physiological conditions, STAT3 becomes persistently activated in a high percentage of solid and hematopoietic malignancies (e.g., melanoma, multiple myeloma, breast, prostate, ovarian, and colon cancers), thus contributing to malignant transformation and progression."
activation,"While STAT3 activation is transient in physiological conditions, STAT3 becomes persistently activated in a high percentage of solid and hematopoietic malignancies (e.g., melanoma, multiple myeloma, breast, prostate, ovarian, and colon cancers), thus contributing to malignant transformation and progression."
inhibition,Initial strategies aimed at inhibiting STAT3 functions have focused on blocking the action of its activating kinases or sequestering its DNA binding ability.
binding,Initial strategies aimed at inhibiting STAT3 functions have focused on blocking the action of its activating kinases or sequestering its DNA binding ability.
activation,"Additionally, sideroxylin activated the phosphorylation of ERK1/2, JNK, P38, and MAPK proteins and the use of LY294002, U0126, SB203580, and SP600125 to block their phosphorylation, respectively, in ES2 and OV90 cells."
activation,"Collectively, the results of present study indicated that sideroxylin was a novel therapeutic agent to combat the proliferation of ovarian cancer cells through the induction of mitochondrial dysfunction and the activation of PI3âK and MAPK signal transduction."
induced,"In addition, EPA induced a shift in the inactivation curve in a dose-dependent manner."
activation,"Mechanistically, sE-cad-positive exosomes heterodimerize with VE-cadherin on endothelial cells and transduce a novel sequential activation of Î²-catenin and NFÎºB signaling."
activation,"Through bioinformatic analyses in both breast and ovarian cancer cell line panels, we uncovered an intricate network connecting TET1 to hypomethylation and activation of cancer-specific oncogenic pathways including PI3K, EGFR, and PDGF."
inhibition,"This study aimed to reveal the therapeutic potential of suppressor of cytokine signaling 1 (SOCS-1), an endogenous inhibitor of the janus kinase (JAK)-signal transducer and activator of transcription (STAT) signaling pathway, for the treatment of OvCa."
activation,"This study aimed to reveal the therapeutic potential of suppressor of cytokine signaling 1 (SOCS-1), an endogenous inhibitor of the janus kinase (JAK)-signal transducer and activator of transcription (STAT) signaling pathway, for the treatment of OvCa."
activation,Immunohistochemical assessment revealed that OvCa patients with high intratumoral STAT1 activation exhibited poor prognosis compared with patients with low STAT1 activation (P &lt; 0.05).
activation,AdSOCS-1 reduced PD-L1 expression on tumors and restored the activation of tumor-infiltrating CD8 T cells.
activation,"We investigated whether digitoxin affects a) specific pathways involved in motility and/or activation of different cell types shaping TME, and b) cancer cell growth and invasiveness in response to TME-associated factors."
activation,"Digitoxin affected the expression of neither M1 (CD80/CD68) nor M2 (CD206/CD163) activation markers, nor the amount of cell-bound IL-1Î² and CCL22."
inhibition,"Ring annexation of the active 1,3-thiazole ring analogue 13 into the bicyclic thiazolo[4,5-d]pyridazine (18,19) or imidazo[2,1-b]thiazoles (23-25) decreased the DHFR inhibition activity; while the formation of the tricyclic imidazo[2',1':2,3]-thiazolo[4,5-d]pyridazine (43-54) increased potency."
activation,Persistent activation of STAT3 is associated with cancer growth and progression and is also involved in cell resistance to platinum and taxane treatment.
inhibition,We show that ruxolitinib inhibits STAT3 activation and ovarian tumor growth both in ovarian cancer cells and in an ovarian cancer mouse model.
activation,We show that ruxolitinib inhibits STAT3 activation and ovarian tumor growth both in ovarian cancer cells and in an ovarian cancer mouse model.
suppressed,"Overexpression of miRâ148a using miR mimics significantly decreased proliferation, promoted apoptosis, increased the Bclâ2 associated X apoptosis regulator (Bax)/Bclâ2 apoptosis regulator (Bclâ2) ratio and caspase3/9 activity, and suppressed HLAâG protein expression in Hs 832(C).T cells."
inhibition,"miRâ148a downregulation using miR inhibitor significantly increased cell viability, inhibited apoptosis, and reduced the Bax/Bclâ2 ratio and caspase3/9 activity, and induced HLAâG protein expression in Hs 832(C).T cells."
inhibition,"miRâ148a downregulation using miR inhibitor significantly increased cell viability, inhibited apoptosis, and reduced the Bax/Bclâ2 ratio and caspase3/9 activity, and induced HLAâG protein expression in Hs 832(C).T cells."
induced,"miRâ148a downregulation using miR inhibitor significantly increased cell viability, inhibited apoptosis, and reduced the Bax/Bclâ2 ratio and caspase3/9 activity, and induced HLAâG protein expression in Hs 832(C).T cells."
inhibition,"The GPER inhibitor, G15, suppressed GPER protein expression, upregulated miRâ148a expression, decreased cell proliferation, promoted apoptosis, increased the Bax/Bclâ2 ratio and caspase3 activity, and suppressed HLAâG protein expression in Hs 832(C).T cells."
suppressed,"The GPER inhibitor, G15, suppressed GPER protein expression, upregulated miRâ148a expression, decreased cell proliferation, promoted apoptosis, increased the Bax/Bclâ2 ratio and caspase3 activity, and suppressed HLAâG protein expression in Hs 832(C).T cells."
activation,"Our findings suggest that a diet high in plant protein reduces the growth of human ovarian cancer cells in mice compared to a diet high in animal protein, -possibly through the lack of activation of the IGF/Akt/mTOR pathway, and leads to a better prognosis with or without cisplatin treatment."
activation,Evidence from human and animal studies suggests that chronic behavioral stress and resulting activation of the sympathetic nervous system may influence initiation and progression of tumors.
activation,"These data demonstrate the relevance of copy-number amplification as a mechanism of KRAS activation, and uncover the therapeutic potential for targeting of these tumors through combined SHP2 and MEK inhibition."
inhibition,"These data demonstrate the relevance of copy-number amplification as a mechanism of KRAS activation, and uncover the therapeutic potential for targeting of these tumors through combined SHP2 and MEK inhibition."
suppressed,"In addition, dioscin significantly suppressed vascular endothelial growth factor receptor (VEGFR)2, phosphoinositide 3-kinase (PI3K), phosphorylated AKT and phosphorylated p38 mitogen-activated protein kinase (MAPK) protein expression in SKOV3 cells."
inhibition,"Furthermore, cell apoptosis was inhibited by the transfection of siNNT-AS1 in the two cell lines, whereas the relative activities of caspase-3 and caspase-9 were decreased."
inhibition,Pretreatment of cells with LY294002 (phosphoinositide 3-kinase inhibitor) and PD98059 (mitogen-activated protein kinase inhibitor) reduced HIF-1Î± expression comparable to SB-treated cells.
induced,"Thus, a minimal threshold of FANCJ catalytic activity is required to overcome replication stress induced by aphidicolin or telomestatin, or to repair bleomycin-induced DNA breakage."
regulated,The tyrosine kinase WEE1 regulates cdc2 activity at the G2/M checkpoint and prevents entry into mitosis in response to DNA damage or stalled DNA replication.
activation,2/M associated with caspase-3 activation in an A2780 ovarian cancer cell line.
activation,This constitutes the first report that Prx2 deficiency leads to acceleration of age-related or VCD-induced ovarian failure by activation of the ROS-induced JNK pathway.
inhibition,These findings suggest that Prx2 plays an important role in preventing accelerated ovarian failure by inhibiting ROS-induced JNK activation.
activation,These findings suggest that Prx2 plays an important role in preventing accelerated ovarian failure by inhibiting ROS-induced JNK activation.
activation,"DNA methylation is one of the epigenetic mechanisms associated with gene expression and plays a key role as in activation and deactivation of oncogenes and tumor suppressor genes, respectively."
activation,"Moreover, CD146 expression is positively correlated with the activation levels of STAT3/Twist and ERK pathways."
activation,Here we demonstrate that COL11A1 binds to integrin Î±1Î²1 and discoidin domain receptor 2 (DDR2) and activates downstream signaling pathways to inhibit cisplatin-induced apoptosis in ovarian cancer cells.
activation,"Mechanistically, we show that COL11A1 activates Src-PI3K/Akt-NF-kB signaling to induce the expression of three inhibitor apoptosis proteins (IAPs), including XIAP, BIRC2, and BIRC3."
induced,"Mechanistically, we show that COL11A1 activates Src-PI3K/Akt-NF-kB signaling to induce the expression of three inhibitor apoptosis proteins (IAPs), including XIAP, BIRC2, and BIRC3."
inhibition,"Mechanistically, we show that COL11A1 activates Src-PI3K/Akt-NF-kB signaling to induce the expression of three inhibitor apoptosis proteins (IAPs), including XIAP, BIRC2, and BIRC3."
induced,"Furthermore, it induced loss of mitochondrial membrane potential and generation of reactive oxygen species in ES2 and OV90 cells."
promotes,Our previous study showed that PFOA is a carcinogen that promotes endometrial cancer cell migration and invasion through activation of ERK/mTOR signaling.
activation,Our previous study showed that PFOA is a carcinogen that promotes endometrial cancer cell migration and invasion through activation of ERK/mTOR signaling.
regulated,"The pathway can regulate cell growth, proliferation, and survival by activating ribosomal kinases."
binding,"Mechanistically, DDB2 binds to the ALDH1A1 gene promoter, facilitating the enrichment of histone H3K27me3, and competing with the transcription factor C/EBPÎ² for binding to this region, eventually inhibiting the promoter activity of the ALDH1A1 gene."
inhibition,"Mechanistically, DDB2 binds to the ALDH1A1 gene promoter, facilitating the enrichment of histone H3K27me3, and competing with the transcription factor C/EBPÎ² for binding to this region, eventually inhibiting the promoter activity of the ALDH1A1 gene."
regulated,"Peroxisome proliferator-activated receptor-coactivatorÂ 1Î± (PGC1Î±)-mediated mitochondrial biogenesis regulates mitochondrial structural and the functional adaptive response against chemotherapeutic stress, and may be a therapeutic target."
activation,"Mechanistically, we show that Ras activation is a critical effector of Icmt in ovarian cancer cells."
induced,"3-Hydroxypyridine derivatives induced apoptosis by hyperexpression of Bax and caspase-3, whereas 4-deoxypyridoxine derivative induced cell death partly by reactive oxygen species generation and caspase-3 hyperexpression."
inhibition,"In addition, as a critical target of miR-520d-3p, the activity of spindle and kinetochore associated 2 (SKA2) was greatly inhibited by miR-520d-3p, and overexpression of miR-520d-3p decreased the expression of SKA2."
suppressed,"SKA2 downregulation suppressed cell viability, whereas restoration of SKA2 expression significantly reversed the inhibitory effects of miR-520d-3p antitumor activity."
activation,"In cancer patients, the relative number of activated NK cells secreting granzyme B (GB) (CD56+CD107a+GB+PF-) was significantly decreased, and the proportion of degranulated NK cells (CD56+CD107a+GB-PF-) was significantly increased, compared to those observed in healthy donors."
activation,The proportion of activated peripheral blood NK cells containing cytolytic granules GB and perforin (PF) in colorectal cancer patients increased with tumour growth.
inhibition,The poly(ADP-ribose) polymerase-1/2 inhibitor veliparib is active against tumors deficient in homologous DNA damage repair.
activation,"We observed that cisplatin, at a low concentration enhanced the activation of ERK1/2 in A2780 cells and increased their accumulation in the S phase, resulting in low cytotoxicity."
inhibition,"The PD98059, pharmacological inhibitor of ERK1/2 activation, increased the cytotoxicity of cisplatin applied at a low concentration to A2780 cells (decreased ERK1/2 activity), causing shift of cell accumulation from the S to G1 phase."
activation,"The PD98059, pharmacological inhibitor of ERK1/2 activation, increased the cytotoxicity of cisplatin applied at a low concentration to A2780 cells (decreased ERK1/2 activity), causing shift of cell accumulation from the S to G1 phase."
binding,"A role for rs9666607 of CD44 and rs35605 of ABCC1 in RNA splicing regulation, rs212091 of ABCC1 in miRNA binding site activity and rs1058587 of GDF15 in causing an amino acid change was predicted."
activation,"Further studies discovered that CK2Î²-deficient oocytes showed enhanced Î³H2AX signals, indicative of accumulative unrepaired DSBs, which activated CHK2-dependant p53 and p63 signaling."
induced,"The apoptosis rate of SKOV3 cells treated with JTC-801 was significantly increased (P<0.05), and the expression results of relevant apoptosis proteins (BCL2, BAX, Active Caspase-3) indicated the JTC-801 could induce the apoptosis of SKOV3."
binding,"To mitigate the adverse safety profile, we mutated the Fc region of Y-443 to reduce the Fc binding activity to FcÎ³ receptor I, which is the primary receptor for phagocytosis on macrophages."
activation,We first identify the common activated TFs in two OCSC populations integrating the gene expression and TF-target Interactome; and then uncover up-stream signaling cascades regulating the activated TFs.
regulated,We first identify the common activated TFs in two OCSC populations integrating the gene expression and TF-target Interactome; and then uncover up-stream signaling cascades regulating the activated TFs.
activation,"In conclusion, the proposed approach can uncover the activated up-stream signaling, activated TFs and up-regulated target genes that constitute the potential core signaling pathways of ovarian CSC."
activation,"In recent year, OXT acts as a growth regulator in many kind of tumor tissues, through the activation of a specific G-coupled transmembrane receptor, the oxytocin receptor (OXTR)."
activation,"In addition, MAPK activation and RNF2 were related to cisplatin resistance of OC."
activation,"Accordingly, environmentally-relevant-dose BPA activated the canonical Wnt signaling pathway."
activation,"c to cytosol, activation of caspase-3 and -9, as well as cleaved PARP."
suppressed,"Furthermore, nuclear factor kappa b (NF-?B) pathway was dramatically suppressed by CAPE through the inhibition of I?B phosphorylation, nuclear translocation of p65 and NF-?B p65 DNA binding activity."
inhibition,"Furthermore, nuclear factor kappa b (NF-?B) pathway was dramatically suppressed by CAPE through the inhibition of I?B phosphorylation, nuclear translocation of p65 and NF-?B p65 DNA binding activity."
binding,"Furthermore, nuclear factor kappa b (NF-?B) pathway was dramatically suppressed by CAPE through the inhibition of I?B phosphorylation, nuclear translocation of p65 and NF-?B p65 DNA binding activity."
suppressed,Knockdown of endogenous USP28 suppressed the Claspin expression and p-Chk1 activation and cell viability.
activation,Knockdown of endogenous USP28 suppressed the Claspin expression and p-Chk1 activation and cell viability.
activation,"Significantly, the clinical studies also confirm the activation of ATR and DOUXA1 in ovarian cancer patients, and elevated DOUXA1 or ATR-Chk1 pathway correlates with poor prognosis."
inhibition,"Interestingly, we observed for the first time that curcumin attenuates RCP-induced ovarian cancer cell invasion by blocking stabilization of Î²1 integrin and consequently inhibiting FAK and EGFR activation, providing potential biomarkers for ovarian cancer and therapeutic approaches for this deadly disease."
activation,"Interestingly, we observed for the first time that curcumin attenuates RCP-induced ovarian cancer cell invasion by blocking stabilization of Î²1 integrin and consequently inhibiting FAK and EGFR activation, providing potential biomarkers for ovarian cancer and therapeutic approaches for this deadly disease."
inhibition,A series of sulfonamides with predicted activity were synthesized and tested against 60 human cancer cell lines with growth inhibition percent values.
inhibition,"In this study, we found the following: (i)Â gallic acid (GA), a phenolic compound, potentiated the capacity of PTX to decrease proliferation and to cause G2/M cycle arrest in the PTX-resistant A2780AD ovarian cancer cell line; (ii)Â GA exerted a pro-oxidant action by increasing the production of reactive oxygen species (ROS), and co-treatment with the antioxidant agent Nâacetyl-LâcysteineÂ (NAC) prevented GA+PTX-induced cell proliferation inhibition and G2/M phase arrest; (iii)Â PTX stimulated ERK phosphorylation/activation, and co-treatment with the MEK/ERK inhibitor PD98049 potentiated the proliferation inhibition and G2/MÂ phase arrest; (iv)Â and finally, GA abrogated the PTX-induced stimulation of ERK phosphorylation, a response that was prevented by co-treatment with NAC."
inhibition,"In this study, we found the following: (i)Â gallic acid (GA), a phenolic compound, potentiated the capacity of PTX to decrease proliferation and to cause G2/M cycle arrest in the PTX-resistant A2780AD ovarian cancer cell line; (ii)Â GA exerted a pro-oxidant action by increasing the production of reactive oxygen species (ROS), and co-treatment with the antioxidant agent Nâacetyl-LâcysteineÂ (NAC) prevented GA+PTX-induced cell proliferation inhibition and G2/M phase arrest; (iii)Â PTX stimulated ERK phosphorylation/activation, and co-treatment with the MEK/ERK inhibitor PD98049 potentiated the proliferation inhibition and G2/MÂ phase arrest; (iv)Â and finally, GA abrogated the PTX-induced stimulation of ERK phosphorylation, a response that was prevented by co-treatment with NAC."
activation,This longitudinal study of natural variation provides an integrated view of MG development and the importance of increased GR activation in nulliparous ductal growth and alveolobular differentiation.
induced,"Euxanthone induced cytoprotective autophagy in ovarian cancer cells, which negatively contributed to its anti-tumor activities."
activation,TWIST protein is critical to development and is activated in many cancers.
regulated,"PXDN might play a promoter role in the proliferation, invasion and migration of OC cells through regulating the activation of PI3K/Akt pathway."
activation,"PXDN might play a promoter role in the proliferation, invasion and migration of OC cells through regulating the activation of PI3K/Akt pathway."
activation,ARID1A depletion transcriptionally activates the expression of multidrug resistance-associated protein 2 (MRP2) following chromatin remodeling.
inhibition,Loss of function analysis showed that inhibition of let-7d-3p significantly (P<0.05) impaired cell proliferation and activated apoptosis.
activation,Loss of function analysis showed that inhibition of let-7d-3p significantly (P<0.05) impaired cell proliferation and activated apoptosis.
inhibition,"In summary, our findings showed that inhibition of let-7d-3 activates apoptosis and that its upregulation is associated with a positive response of ovarian cancer patients to carboplatin/paclitaxel chemotherapy."
activation,"In summary, our findings showed that inhibition of let-7d-3 activates apoptosis and that its upregulation is associated with a positive response of ovarian cancer patients to carboplatin/paclitaxel chemotherapy."
activation,"For mechanistic evaluation, rhIL-8, IL-8 neutralizing antibody (IL-8 Ab), signal transducer and activator of transcription 3 (STAT3) shRNA and STAT3 cDNA were used."
activation,"A proton-sensing GPCR, ovarian cancer G protein-coupled receptor 1 (OGR1), has been reported to be related to acidosis and diseases that cause tissue acidification, but the mechanism of proton-induced activation of OGR1-mediated signal transduction in acidic conditions remains unclear."
binding,"The results provide evidence of the binding of these compounds to the target receptors and their interactions with key residues of the active sites of the two proteins, and thus they could represent suitable leads for the development of novel tools for the dissection of ER signaling and the development of new pharmacological treatments in hormone-sensitive cancers."
inhibition,SYK inactivation by targeted gene knockout or by small molecule inhibition reduced actin polymerization.
inhibition,"The in vitro activity translates well in vivo with 2, showing effective (â¼80â%) inhibition of tumor growth in a human ovarian carcinoma A2780 tumor model, while showing considerably lower toxicity than cisplatin, thus validating the new design strategy."
induced,"Our data showed that YM155 actively induced cell growth inhibition, cell cycle arrest and apoptosis with downregualtion of survivin in ovarian cancer cells."
inhibition,"Our data showed that YM155 actively induced cell growth inhibition, cell cycle arrest and apoptosis with downregualtion of survivin in ovarian cancer cells."
activation,"Importantly, AKT signaling was activated by NOB, which was involved in autophagic degradation and apoptotic cell death."
activation,"Progesterone also contributes through paracrine mechanisms involving one member of the tumor necrosis factor (TNF) family, the receptor activator of nuclear factor ÎºB ligand (RANKL) and its receptor (RANK)."
inhibition,Choline uptake inhibition by hemicholinium did not affect the AChE activity but not in the erythroid differentiated K562 cell line.
inhibition,Choline uptake inhibition by hemicholinium did increase the AChE activity but not in the erythroid differentiated K562 cell line.
activation,"Human, mouse, and zebrafish ovarian cancer G protein-coupled receptors (OGR1s) are activated by both metals and extracellular protons."
activation,"In the present study, we examined whether pig, rat, chicken, and Xenopus OGR1 homologs could sense and be activated by protons and metals."
activation,The results using chimeric receptors of human and zebrafish OGR1s indicate that the specificity of the metal-induced activation lies in the extracellular region.
activation,"However, the types of metals that activated the receptor differed among the homologs."
activation,Metformin-mediated AMPK activation and H3K27me3 inhibition were more robust in cells exposed to low glucose (5.5Â mM) compared with those exposed to high glucose (25Â mM).
inhibition,Metformin-mediated AMPK activation and H3K27me3 inhibition were more robust in cells exposed to low glucose (5.5Â mM) compared with those exposed to high glucose (25Â mM).
induced,The induced overexpression of miR-148a-3p significantly inhibited the relative luciferase activity of the pmirGLO-c-Met-3'untranslated region compared with an empty vector.
inhibition,The induced overexpression of miR-148a-3p significantly inhibited the relative luciferase activity of the pmirGLO-c-Met-3'untranslated region compared with an empty vector.
activation,"Finally, treatment of cells with TGF-Î²1 led to increased LEFTY expression and activation of Akt, which subsequently induced inactivation of GSK-3Î², while inhibition of GSK-3Î² resulted in increased expression of both LEFTY and Snail."
induced,"Finally, treatment of cells with TGF-Î²1 led to increased LEFTY expression and activation of Akt, which subsequently induced inactivation of GSK-3Î², while inhibition of GSK-3Î² resulted in increased expression of both LEFTY and Snail."
inhibition,"Finally, treatment of cells with TGF-Î²1 led to increased LEFTY expression and activation of Akt, which subsequently induced inactivation of GSK-3Î², while inhibition of GSK-3Î² resulted in increased expression of both LEFTY and Snail."
induced,"Epigallocatechin-3-gallate (EGCG), a polyphenolic compound in green tea, has been shown to protect against ovarian hormone deficiency induced overactive bladder (OAB)."
induced,"The present study investigated oxidative stress induced by MetS and bilateral ovariectomy (OVX), and elucidated the mechanism underlying the protective effect of EGCG (10 umol/kg/day) on bladder overactivity."
induced,This correlated with enhanced growth suppression induced by the inhibition of HDAC2 activity in ARID1A-mutated cells.
inhibition,This correlated with enhanced growth suppression induced by the inhibition of HDAC2 activity in ARID1A-mutated cells.
inhibition,Avelumab is a human anti-PD-L1 checkpoint inhibitor with clinical activity in multiple solid tumors.
activation,"Additionally, treatment with metformin increased the activation of sirtuin 3 (SIRT3), a mitochondrial deacetylase."
activation,"Moreover, treatment with metformin or SIRT3 overexpression increased activation of AMP-activated protein kinase (AMPK), a major sensor of cellular energy status."
activation,"Fibroblasts conditioned by tumor cells become ""activated"" and, as such, are identified as CAFs (cancer-associated fibroblasts)."
activation,"The consequent activation was supported by morphological and molecular changes in treated fibroblasts; XTT assays, zymographies, wound healing tests and invasion assays also highlighted higher proliferation, motility, invasiveness and enzyme expression."
activation,"The secretome of these ""activated"" fibroblasts was, in turn, able to modulate the responses (proliferation, motility and invasion) of fibroblasts, and of tumor and endothelial cells."
induced,These compounds inactivate the important signaling kinases AKT and mTOR and thereby induce autophagy.
activation,"Phosphorylation of T372 by PKA enhanced the interaction between EZH2 and signal transducer and activator of transcription 3 (STAT3), and STAT3 binding to pT372-EZH2 reduced cellular levels of pSTAT3 and downregulated interleukin 6 receptor expression in OC."
binding,"Phosphorylation of T372 by PKA enhanced the interaction between EZH2 and signal transducer and activator of transcription 3 (STAT3), and STAT3 binding to pT372-EZH2 reduced cellular levels of pSTAT3 and downregulated interleukin 6 receptor expression in OC."
regulated,These findings demonstrate that PKA-mediated T372 phosphorylation reduces oncogenic EZH2 activity and reveal a novel role for pT372 in regulating EZH2 in OC and possibly other cancers.
activation,The literature indicated that aberrant activation of growth factor and WNT signaling pathways is specifically observed in mucinous ovarian cancer.
regulated,"An evolutionarily conserved signaling cascade system including epidermal growth factor/RAS/RAF/mitogen-activated protein kinase kinase/extracellular signal-regulated protein kinase, phosphoinositide 3-kinase/Akt and WNT signaling regulates a variety of cellular functions; their crosstalk mutually enhances signaling activity and induces chemoresistance."
induced,"An evolutionarily conserved signaling cascade system including epidermal growth factor/RAS/RAF/mitogen-activated protein kinase kinase/extracellular signal-regulated protein kinase, phosphoinositide 3-kinase/Akt and WNT signaling regulates a variety of cellular functions; their crosstalk mutually enhances signaling activity and induces chemoresistance."
activation,Shikonin activated mitogen-activated protein kinases; while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment.
attenuated,Shikonin activated mitogen-activated protein kinases; while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment.
induced,Shikonin activated mitogen-activated protein kinases; while treatment with specific inhibitors of these kinases attenuated the decline in cell viability induced by shikonin treatment.
inhibition,"In addition to its promising anticancer activity, CPT8 displays remarkable anti-metastatic properties by inhibiting the migratory and invasive ability of ovarian cancer cells."
attenuated,"Silencing the MMP-7 transcripts using small interfering RNA attenuated EMT responses, whereas treatment with recombinant active MMP-7 promoted EMT by cleaving E-cadherin."
inhibition,"In addition, EGF receptor (EGFR) inhibitor treatments regressed endometriotic lesions and decreased MMP-7 activities in a mouse model of endometriosis."
activation,"Chromatin immunoprecipitation assay identified EGFR-mediated ERK1 and activator protein 1 signaling for the transcriptional activation of MMP-7 in End1/E6E7 epithelial cells.-Chatterjee, K., Jana, S., DasMahapatra, P., Swarnakar, S. EGFR-mediated matrix metalloproteinase-7 up-regulation promotes epithelial-mesenchymal transition via ERK1-AP1 axis during ovarian endometriosis progression."
activation,"Chromatin immunoprecipitation assay identified EGFR-mediated ERK1 and activator protein 1 signaling for the transcriptional activation of MMP-7 in End1/E6E7 epithelial cells.-Chatterjee, K., Jana, S., DasMahapatra, P., Swarnakar, S. EGFR-mediated matrix metalloproteinase-7 up-regulation promotes epithelial-mesenchymal transition via ERK1-AP1 axis during ovarian endometriosis progression."
promotes,"Chromatin immunoprecipitation assay identified EGFR-mediated ERK1 and activator protein 1 signaling for the transcriptional activation of MMP-7 in End1/E6E7 epithelial cells.-Chatterjee, K., Jana, S., DasMahapatra, P., Swarnakar, S. EGFR-mediated matrix metalloproteinase-7 up-regulation promotes epithelial-mesenchymal transition via ERK1-AP1 axis during ovarian endometriosis progression."
